;VIDEO_ID;VIDEO_NAME;SENTENCE_ID;SENTENCE_NAME;START;END;SENTENCE;SPEAKER_ID;SENTENCE_LEN
204;-1PeVdIwiq0;-1PeVdIwiq0-8-rgb_front;-1PeVdIwiq0_1;-1PeVdIwiq0_1-8-rgb_front;3.38;5.68;Today we're going to be talking about buying a new car.;8;11
205;-1PeVdIwiq0;-1PeVdIwiq0-8-rgb_front;-1PeVdIwiq0_10;-1PeVdIwiq0_10-8-rgb_front;60.5;71.49;So just because a brand new car has never been titled, doesn't necessarily mean that you can't end up with a brand new car that has been titled and save yourself a bunch of money.;8;35
206;-1PeVdIwiq0;-1PeVdIwiq0-8-rgb_front;-1PeVdIwiq0_11;-1PeVdIwiq0_11-8-rgb_front;71.8;83.12;So find out whether you are really a new car buyer or maybe you're a used car buyer with the same model year with a few miles on it so that you can save yourself some money.;8;37
207;-1PeVdIwiq0;-1PeVdIwiq0-8-rgb_front;-1PeVdIwiq0_12;-1PeVdIwiq0_12-8-rgb_front;83.37;94.47;You can save upwards of 5 to 10 and even sometimes 20 thousand dollars on buying a new used car versus buying a brand new car without an MOS.;8;29
208;-1PeVdIwiq0;-1PeVdIwiq0-8-rgb_front;-1PeVdIwiq0_13;-1PeVdIwiq0_13-8-rgb_front;95.34;99.39;So find out whether or not you're really a new car buyer.;8;12
209;-1PeVdIwiq0;-1PeVdIwiq0-8-rgb_front;-1PeVdIwiq0_14;-1PeVdIwiq0_14-8-rgb_front;99.67;104.12;When it comes to buying a new car, remember, its ok to say no.;8;14
210;-1PeVdIwiq0;-1PeVdIwiq0-8-rgb_front;-1PeVdIwiq0_15;-1PeVdIwiq0_15-8-rgb_front;104.47;109.5;Just 'cause they ask you to pay a certain amount of money for a car, doesn't mean that you have to.;8;21
211;-1PeVdIwiq0;-1PeVdIwiq0-8-rgb_front;-1PeVdIwiq0_16;-1PeVdIwiq0_16-8-rgb_front;110.12;115.14;Sometimes the best tactic to buying a new car is getting up and leaving.;8;14
212;-1PeVdIwiq0;-1PeVdIwiq0-8-rgb_front;-1PeVdIwiq0_17;-1PeVdIwiq0_17-8-rgb_front;115.71;129.08;If they say they can't sell you the car and they really can't, then they won't, but there's no reason why you can't come back tomorrow and try again, but if they come chasing you out the door and they say ok ok we want to sell you the car, then you can feel like you got a good deal.;8;60
213;-1PeVdIwiq0;-1PeVdIwiq0-8-rgb_front;-1PeVdIwiq0_18;-1PeVdIwiq0_18-8-rgb_front;129.36;136.22;When buying a new car, don't be afraid to ask your dealership to allow them to allow you to look at the invoice.;8;23
214;-1PeVdIwiq0;-1PeVdIwiq0-8-rgb_front;-1PeVdIwiq0_19;-1PeVdIwiq0_19-8-rgb_front;136.9;146.22;That's what they paid for the car and nine times out of ten, the dealership will be willing to share that information with you in order for you to make an educated decision.;8;33
215;-1PeVdIwiq0;-1PeVdIwiq0-8-rgb_front;-1PeVdIwiq0_2;-1PeVdIwiq0_2-8-rgb_front;6.62;9.51;In this segment we're talk about negotiating on a new car.;8;11
216;-1PeVdIwiq0;-1PeVdIwiq0-8-rgb_front;-1PeVdIwiq0_20;-1PeVdIwiq0_20-8-rgb_front;146.57;154.66;If you know how much they paid for a car, then you're willing to offer them a little bit more than what they paid for the car, usually they'll be willing to sell it to.;8;35
217;-1PeVdIwiq0;-1PeVdIwiq0-8-rgb_front;-1PeVdIwiq0_21;-1PeVdIwiq0_21-8-rgb_front;155.24;166.72;Also remember that when buying a new car, depending on how many days its been in their inventory, they may be motivated to sell that particular car than not.;8;29
